type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
-,0.0,0.0,0.0,0.0,"[('rank', 1)]",[]
???,0.0,0.0,0.0,0.0,"[('weight', 16), ('age', 5), ('code', 1), ('description', 1), ('city', 1)]",[]
address,1.0,0.4444444444444444,0.6153846153846154,9.0,[],"[('description', 2), ('location', 2), ('name', 1)]"
affiliation,0.0,0.0,0.0,2.0,[],"[('description', 1), ('team', 1)]"
age,0.8208955223880597,0.6707317073170732,0.738255033557047,82.0,"[('weight', 6), ('class', 3), ('location', 1), ('sex', 1), ('day', 1)]","[('type', 7), ('???', 5), ('year', 4), ('ageRange', 3), ('location', 2)]"
ageRange,0.0,0.0,0.0,0.0,"[('age', 3)]",[]
aircraft,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
album,0.5483870967741935,0.6296296296296297,0.5862068965517241,27.0,"[('name', 12), ('artist', 2)]","[('description', 7), ('artist', 1), ('result', 1), ('team', 1)]"
artist,0.6097560975609756,0.8620689655172413,0.7142857142857143,29.0,"[('name', 10), ('symbol', 2), ('album', 1), ('director', 1), ('description', 1)]","[('album', 2), ('name', 1), ('description', 1)]"
as,0.0,0.0,0.0,0.0,"[('code', 2), ('description', 1)]",[]
c,0.0,0.0,0.0,0.0,"[('category', 1)]",[]
category,0.4,0.25,0.3076923076923077,24.0,"[('location', 2), ('year', 2), ('genre', 1), ('class', 1), ('status', 1)]","[('team', 6), ('description', 3), ('result', 2), ('c', 1), ('year', 1)]"
cc,0.0,0.0,0.0,0.0,"[('code', 3)]",[]
city,0.6901408450704225,0.5632183908045977,0.620253164556962,87.0,"[('state', 17), ('location', 2), ('team', 1), ('country', 1), ('age', 1)]","[('location', 36), ('name', 1), ('???', 1)]"
class,0.0,0.0,0.0,18.0,"[('description', 1)]","[('year', 4), ('type', 3), ('team', 3), ('location', 3), ('age', 3)]"
club,1.0,0.03225806451612903,0.0625,31.0,[],"[('team', 28), ('location', 1), ('result', 1)]"
code,0.17391304347826086,0.15384615384615385,0.16326530612244897,26.0,"[('symbol', 15), ('rank', 1), ('product', 1), ('state', 1), ('type', 1)]","[('year', 3), ('cc', 3), ('description', 3), ('patent', 2), ('team', 2)]"
command,0.0,0.0,0.0,1.0,[],"[('key', 1)]"
company,0.5897435897435898,0.8518518518518519,0.696969696969697,27.0,"[('name', 10), ('publisher', 2), ('manufacturer', 2), ('code', 2)]","[('team', 2), ('name', 2)]"
component,0.0,0.0,0.0,2.0,[],"[('category', 1), ('component2', 1)]"
component2,0.0,0.0,0.0,0.0,"[('component', 1)]",[]
continent,0.0,0.0,0.0,0.0,"[('region', 1)]",[]
country,0.6666666666666666,0.36363636363636365,0.47058823529411764,22.0,"[('rank', 3), ('category', 1)]","[('team', 9), ('location', 2), ('name', 1), ('year', 1), ('city', 1)]"
county,0.0,0.0,0.0,4.0,[],"[('type', 2), ('location', 1), ('name', 1)]"
currency,0.0,0.0,0.0,1.0,[],"[('symbol', 1)]"
date,0.0,0.0,0.0,0.0,"[('day', 1), ('year', 1)]",[]
day,1.0,0.5714285714285714,0.7272727272727273,7.0,[],"[('title', 1), ('age', 1), ('date', 1)]"
dayton,0.0,0.0,0.0,0.0,"[('team', 1)]",[]
depth,0.0,0.0,0.0,1.0,[],"[('location', 1)]"
description,0.32710280373831774,0.4794520547945205,0.3888888888888889,73.0,"[('name', 17), ('location', 7), ('album', 7), ('status', 5), ('type', 5)]","[('type', 9), ('team', 5), ('year', 3), ('status', 2), ('name', 2)]"
director,0.0,0.0,0.0,1.0,[],"[('artist', 1)]"
directory,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
duration,0.0,0.0,0.0,5.0,"[('year', 1)]","[('type', 2), ('year', 1), ('status', 1), ('result', 1)]"
elevation,1.0,0.3333333333333333,0.5,3.0,[],"[('year', 2)]"
encodedTrafficClassId,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
expression,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
fileSize,0.0,0.0,0.0,0.0,"[('position', 2)]",[]
filedAs,0.0,0.0,0.0,0.0,"[('code', 1)]",[]
final,0.0,0.0,0.0,0.0,"[('status', 1)]",[]
format,1.0,0.75,0.8571428571428571,4.0,[],"[('description', 1)]"
fpay,0.0,0.0,0.0,0.0,"[('description', 2)]",[]
gender,1.0,0.16666666666666666,0.2857142857142857,6.0,[],"[('status', 3), ('description', 1), ('rank', 1)]"
genre,0.0,0.0,0.0,2.0,[],"[('category', 1), ('year', 1)]"
